"{%country code of phone number} If it's not your country, please, tap on according field and change it","{%country code of phone number} Si ce n'est pas votre pays, tapez sur le champs correspondant et changez le"
"{%phone number} is your current phone number. It's already confirmed and active. If you want to change, enter new one in according field and press SEND","{%phone number} est votre numéro de téléphone. Il a déja été confirmé et est actif. Si vous voulez le changer, entrez le nouveau numéro dans le champs correspondant et appuyer ENVOYER"
{%username} invited you,{%username} vous a invité
Add,Ajouter des amis
Add participants,Ajouter des participants
Add as a friend,Invitez ces contacts sur Heyya
added a photo,a ajouté une photo
Alert for new legend from,Notification pour une légende de
Alert for new post from,Notification pour une publication de
Alert for new viewer,Notification pour les spectateurs
All friends,Tous vos amis
All your friends are already added,Tous vos amis sont déjà ajoutés
Already in your friends,Déjà dans vos amis
Auto accept friend requests,Accepter toutes les demandes d'amitié
Block,Bloquer
Cancel,Annuler
This character '{%character}' is not allowed in nickname,Ce caractère '{%character}' n'est pas autorisé dans votre nom d'utilisateur
This character '{%character}' is not allowed in phone number,Ce caractère '{%character}' n'est pas autorisé dans votre numéro de téléphone
Choose your username,Choisissez votre nom d'utilisateur
Code,Code
Verification Code,Code de vérification
Delete {%username} from your contacts?,Effacer {%username} de vos contacts?
Delete this friend,Supprimer cet ami
Delete your legend,Supprimer votre légende
Denied,Refusé
Denied access to address book,Accès au carnet d'adresses refusé
Done,Fait
Enter the code you received by SMS,Entrez le code de vérification que vous avez reçu par SMS
Error,Erreur
Everyone,Tout le monde
Favorites,Favoris
Find a friend,Trouver un ami
Friend requests,Demande d'amitié
Friend's legend,Légende de vos amis
Friends,Amis
Friends can add participants,Les participants peuvent inviter
has seen your legend,Add users from your contacts should be >> Ajouter en ami
"Hey, still here?","Hey, toujours là?"
"heyya does not have access to your camera. To enable access, tap Settings and turn on Camera","heyya n'a pas accès à votre appareil photo. Pour autoriser l'accès, allez dans Réglage et activez l'accès"
"heyya does not have access to your contacts. To enable access, tap Settings and turn on Contacts","heyya n'a pas accès à votre carnet d'adresse. Pour autoriser l'accès, allez dans Réglages et activez l'accès"
"heyya does not have access to your microphone. To enable access, tap Settings and turn on Microphone","heyya n'a pas accès à votre microphone. Pour autoriser l'accès, allez dans Réglages et activez l'accès"
"Add me on Heyya, my username is {%username}: {heyya_URL}","Ajoutez moi sur Heyya, mon nom d'utilisateur est {%username}:"
iMessage error,erreur iMessage
Input data error,Erreur des données d'entrée
Invite,Inviter
invited you,vous a invité
It's a phone code for,
Loading...,Chargement...
mobile,mobile
NO,NON
No internet connection,Aucune connection internet
no name,pas de nom
No one,Personne
Nobody has seen your legend,Personne n'a vu votre légende
Not Enough Free Space.,Pas assez d'espace
Notification sound,Son des notifications
OK,OK
Pending,En attente
Phone format error,Erreur format du numéro de téléphone
Phone is too short,Ce numéro de téléphone est trop court
"Phone number is too short. Please, check if you've entered it correctly",Ce numéro de téléphone est trop court. Vérifiez si vous l'avez entré correctement
Please check your connection,Vérifiez votre connexion Internet
Please enter your phone number,Entrez votre numéro de téléphone
Please go to iOS Settings > General > Usage to reclaim space on your device,Aller dans Réglages > Général > Stockage pour gérer l'espace dans votre appareil
"Please, check again if you entered a correct phone number",Vérifiez si vous avez entré un numéro de téléphone valide
Pull to Refresh,Tirer pour actualiser
Recording Error!,Erreur d'enregistrement!
Search everywhere,Chercher de partout
send,envoyer
Invite to Heyya,Envoyez une invitation aux autres contacts
Settings,Réglages
Something went wrong. File not saved,Il y a eu un incident. Le fichier n'est pas sauvé
Start a legend,Commencez une légende
Take a photo,Prenez une photo
"Tap to take a shot, hold to start recording!","Appuyez pour prendre une photo, appuyez plus longtemps pour une vidéo !"
There are no participants to add,Il n'y a aucun participant à ajouter
They accepted your request,Ils ont accepté votre demande d'amitié
This legend ended!,Cette légende a pris fin!
This legend is no longer available,Cette légende a été effacée!
Unblock,Débloquer
Username,Nom d'utilisateur
Viewers,Spectateurs
Welcome,Bienvenu
What are you up to?,Que fais tu?
What are your friends doing? Ask them now!,Que font tes amis? Demandes leur maintenant!
"When this is active, you see only legends from your Favorites",Vous ne verrez que les légendes de vos favoris quand vous activez ceci
YES,OUI
You can't add participants,Vous ne pouvez pas rajouter des participants
You have an active legend. Delete it to start a new one,Votre légende est active. Effacez là pour en commencer une nouvelle
Your account,Votre compte
Your contacts can find you,Vos contacts peuvent vous trouver
Your device is currently unable to send text messages,Votre appareil ne peut pas envoyer des messages
Your legend,VOTRE LÉGENDE
Your legend can't be created,Votre légende ne peut pas être créée
Your legend ended!,Votre légende a pris fin!
Your mobile number is already confirmed,Votre numéro de téléphone est déjà vérifié
Your mobile number should begin with,Votre numéro de téléphone devrait commencer par
Your post can't be created,Votre publication ne peut pas être créée
Your username is too short.,Votre nom d'utilisateur est trop court.
Collecting contacts...,Chargement des contacts...
Hey! Add them as friend,Hey! Ajoutez les en ami
Skip,Passer
Log Out,Déconnexion
What are all your friends doing at this very moment?,Que font tous vos amis à cet instant précis?
Sign in,Se connecter
ACCEPT,ACCEPTER
DECLINE,REFUSER
Your legend is over!,Votre légende a pris fin!
This legend is over!,Cette légende a pris fin!